,Coarse RCA %,Water absorption,w/c,fcm (MPa),t¨Ct0 (days),h0 (mm),RH (%),¦Òc(t0)/ fcm(t0),Ecm (MPa),Ecm(t0) (MPa),"¦ÕMC(t,t0)"
84,0,1.3,0.48,40.2675,90,60,60,0.3,31400,31400,2.1666
85,0,1.3,0.48,40.2675,180,60,60,0.3,31400,31400,2.4492
86,0,1.3,0.48,40.2675,250,60,60,0.3,31400,31400,2.6062
87,0,1.3,0.48,40.2675,400,60,60,0.3,31400,31400,2.7632
88,27,7,0.48,50.115,7,60,60,0.3,30300,30300,0.8787
89,27,7,0.48,50.115,28,60,60,0.3,30300,30300,1.3029
90,27,7,0.48,50.115,56,60,60,0.3,30300,30300,1.5453
91,27,7,0.48,50.115,90,60,60,0.3,30300,30300,1.7271
92,27,7,0.48,50.115,180,60,60,0.3,30300,30300,1.9392
93,27,7,0.48,50.115,250,60,60,0.3,30300,30300,2.0301
94,27,7,0.48,50.115,400,60,60,0.3,30300,30300,2.2119
95,63.5,8.15,0.48,44.46,7,60,60,0.3,24900,24900,0.8466
96,63.5,8.15,0.48,44.46,28,60,60,0.3,24900,24900,1.3944
97,63.5,8.15,0.48,44.46,56,60,60,0.3,24900,24900,1.6683
98,63.5,8.15,0.48,44.46,90,60,60,0.3,24900,24900,1.8924
99,63.5,8.15,0.48,44.46,180,60,60,0.3,24900,24900,2.241
100,63.5,8.15,0.48,44.46,250,60,60,0.3,24900,24900,2.3655
101,63.5,8.15,0.48,44.46,400,60,60,0.3,24900,24900,2.5647
102,36.5,9,0.48,43.5825,7,60,60,0.3,26900,26900,0.9146
103,36.5,9,0.48,43.5825,28,60,60,0.3,26900,26900,1.5333
104,36.5,9,0.48,43.5825,56,60,60,0.3,26900,26900,1.9368
105,36.5,9,0.48,43.5825,90,60,60,0.3,26900,26900,2.2596
106,36.5,9,0.48,43.5825,180,60,60,0.3,26900,26900,2.6631
107,36.5,9,0.48,43.5825,250,60,60,0.3,26900,26900,2.7707
108,36.5,9,0.48,43.5825,400,60,60,0.3,26900,26900,2.9859
109,36.5,9,0.48,40.8525,7,60,60,0.3,30600,30600,0.9792
110,36.5,9,0.48,40.8525,28,60,60,0.3,30600,30600,1.683
111,36.5,9,0.48,40.8525,56,60,60,0.3,30600,30600,2.1114
112,36.5,9,0.48,40.8525,90,60,60,0.3,30600,30600,2.5092
113,36.5,9,0.48,40.8525,180,60,60,0.3,30600,30600,2.907
114,36.5,9,0.48,40.8525,250,60,60,0.3,30600,30600,3.06
115,36.5,9,0.48,40.8525,400,60,60,0.3,30600,30600,3.3048
116,0,0.65,0.5,32,1,50,65,0.4,36000,36000,0.504
117,0,0.65,0.5,32,7,50,65,0.4,36000,36000,0.864
118,0,0.65,0.5,32,28,50,65,0.4,36000,36000,1.296
119,0,0.65,0.5,32,56,50,65,0.4,36000,36000,1.584
120,0,0.65,0.5,32,90,50,65,0.4,36000,36000,1.692
121,30,3.49,0.5,31,1,50,65,0.4,36000,36000,0.684
122,30,3.49,0.5,31,7,50,65,0.4,36000,36000,1.548
